Region,Forest Percentage(1990),Forest Percentage(2000),Forest Percentage(2010),Forest Percentage(2015),Forest Percentage(2020),Total Area(Sq.Km.)
Papua New Guinea,80.37733515876872,80.10857660204037,79.88978933886852,79.54869054453914,79.17625756304378,452860.0
Paraguay,64.29866599546942,57.869745784042294,49.25801661213189,44.04465139692927,40.529222250188774,397300.0
Peru,59.725421874999995,58.8264296875,57.851406250000004,57.1832265625,56.5081015625,1280000.0
Philippines,26.088506556662306,24.51373377603381,22.93899453331992,23.52399637790522,24.109031760405138,298170.0
Pitcairn,70.0,70.0,70.0,70.0,70.0,50.0
Poland,29.008132205493318,29.586204644175183,30.46801005911362,30.76521114340769,30.970965740226656,306190.0
Portugal,37.102936360659314,35.81486737255758,35.49830804497326,36.15325837790635,36.15325837790635,91610.0
Puerto Rico,36.113866967305526,48.38218714768884,55.405862457722655,55.67981961668546,55.956031567080046,8870.0
Qatar,0.0,0.0,0.0,0.0,0.0,11610.0
Republic of Korea,67.22766688901432,66.45800194981784,65.54466622197137,65.03155626250705,64.51844630304274,97445.0
Republic of Moldova,9.896593673965937,10.474452554744525,11.389902676399027,11.751824817518248,11.754866180048662,32880.0
Réunion,35.0398406374502,36.243027888446214,37.44621513944223,38.26294820717131,39.21912350597609,2510.0
Romania,27.690368567454797,27.66863699582754,28.316237830319892,29.993741307371348,30.115829276773297,230080.0
Russian Federation,49.395879676641506,49.41533394354355,49.77358921454466,49.761063011430146,49.784336078872215,16376870.0
Rwanda,12.849614916903121,11.6335630320227,10.741791649777058,10.944466963923794,11.187677340899878,24670.0
Saint Barthélemy,8.5,8.5,8.5,8.5,8.5,20.0
Saint Helena,5.128205128205128,5.128205128205128,5.128205128205128,5.128205128205128,5.128205128205128,390.0
Saint Kitts and Nevis,42.30769230769231,42.30769230769231,42.30769230769231,42.30769230769231,42.30769230769231,260.0
Saint Lucia,34.868852459016395,34.442622950819676,34.04918032786885,34.04918032786885,34.04918032786885,610.0
Saint Martin (French Part),24.8,24.8,24.8,24.8,24.8,50.0
Saint Pierre and Miquelon,8.26086956521739,7.260869565217392,6.260869565217391,5.782608695652174,5.304347826086957,230.0
Saint Vincent and the Grenadines,70.61538461538461,73.17948717948718,73.17948717948718,73.17948717948718,73.17948717948718,390.0
Samoa,62.23674911660777,60.533568904593636,58.830388692579504,57.975265017667844,57.12720848056536,2830.0
San Marino,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,60.0
Sao Tome and Principe,61.0625,60.791666666666664,60.520833333333336,57.291666666666664,54.0625,960.0
Saudi Arabia,0.4544841349217794,0.4544841349217794,0.4544841349217794,0.4544841349217794,0.4544841349217794,2149690.0
Senegal,48.3205734171298,45.983275333714225,43.983586973458685,42.944787825273984,41.90598867708928,192530.0
Serbia,26.44637548593643,28.12714383718271,31.01989480905557,31.094557512005487,31.13023096272582,87460.0
Seychelles,73.2608695652174,73.2608695652174,73.2608695652174,73.2608695652174,73.2608695652174,460.0
Sierra Leone,43.318093654752005,40.5850651149903,37.852036575228595,36.48559157661403,35.11886949293434,72180.0
Singapore,20.887323943661972,23.95774647887324,24.985915492957744,23.197183098591548,21.929577464788732,710.0
Sint Maarten (Dutch part),10.882352941176471,10.882352941176471,10.882352941176471,10.882352941176471,10.882352941176471,34.0
Slovakia,39.56905158069883,39.54679700499168,39.88997504159734,39.96984193011647,40.056156405990016,48080.0
Slovenia,58.98709036742801,61.2214498510427,61.91658391261172,61.96623634558094,61.46127110228401,20140.0
Solomon Islands,90.92211504108609,90.66095033940694,90.39942836727404,90.26866738120756,90.13826366559485,27990.0
Somalia,13.202569579494373,11.979150062167246,10.755730544840118,10.144020786176554,9.532311027512991,627340.0
South Africa,14.955271249453874,14.655211072550264,14.355150895646654,14.205120807194849,14.055090718743044,1213090.0
South Sudan,11.329207097969068,11.329207097969068,11.329207097969068,11.329207097969068,11.329207097969068,631730.0
Spain,27.828187511132548,34.21105509535465,37.11584454259989,37.127532467012635,37.169540948763256,499661.0
Sri Lanka,37.47934938606283,34.54664327858396,33.54520810078137,33.947057885504705,33.695104449051186,62710.0
State of Palestine,1.5083056478405317,1.5083056478405317,1.6528239202657806,1.684385382059801,1.684385382059801,6020.0
Sudan,12.627064527361853,11.692690113304582,10.757865695229421,10.291125813623337,9.835561031794926,1866650.0
Suriname,98.57455128205129,98.33891025641026,98.07602564102564,97.7671153846154,97.41211538461539,156000.0
Svalbard and Jan Mayen Islands,0.0,0.0,0.0,0.0,0.0,61000.0
Sweden,68.89838206771255,69.14389531315214,68.92293339225651,68.69460607399769,68.69460607399769,407310.0
Switzerland,29.187753036437247,30.26771255060729,31.242914979757085,31.677884615384617,32.11310728744939,39520.0
Syrian Arab Republic,2.0262484343516856,2.3529924304307572,2.6797364265098294,2.843108424549366,2.843108424549366,183630.0
Tajikistan,2.939693061459759,2.954103321564954,2.954103321564954,3.039123856185604,3.053534116290799,138790.0
Thailand,37.896611795102665,37.18608702460412,39.29025817690697,39.26676975474172,38.89878447415295,510890.0
Timor-Leste,64.76798924008071,63.82649630127774,62.88500336247478,62.41425689307331,61.943510423671825,14870.0
Togo,25.035116749402462,23.321566464423608,22.77753263467549,22.505423791138078,22.23331494760066,54390.0
Tokelau,0.0,0.0,0.0,0.0,0.0,10.0
Tonga,12.430555555555554,12.430555555555554,12.430555555555554,12.430555555555554,12.430555555555554,720.0
Trinidad and Tobago,47.18518518518518,46.13060428849903,45.30409356725146,44.890838206627684,44.48148148148148,5130.0
Tunisia,4.145082389289392,4.298725540679712,4.424755406797116,4.473995880535531,4.523236354273945,155360.0
Turkey,25.7051830100178,26.179267959928794,27.39378662474176,28.104803606928,28.87148369995972,769630.0
Turkmenistan,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,469930.0
Turks and Caicos Islands,11.073684210526315,11.073684210526315,11.073684210526315,11.073684210526315,11.073684210526315,950.0
Tuvalu,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,30.0
Uganda,17.83098942748853,15.773738280470775,13.7164372631159,12.68781168960702,11.659186116098146,200520.0
Ukraine,16.0092527058986,16.41664796561308,16.48224550743151,16.670406877384384,16.727373163700392,579290.0
United Arab Emirates,3.449732469726838,4.356941706561532,4.467755561813574,4.467755561813574,4.467755561813574,71020.0
United Kingdom of Great Britain and Northern Ireland,11.482660273632868,12.210143429917744,12.644153267474062,13.040962261811268,13.185632207663373,241930.0
United Republic of Tanzania,64.78890268683676,60.58930909911944,56.38971551140213,54.28990742831339,51.642582975841044,885800.0
United States of America,33.06396776358799,33.18268976388971,33.7494069366007,33.89972254471753,33.86692641203749,9147420.0
United States Virgin Islands,70.1142857142857,58.48571428571429,52.65714285714286,54.74285714285715,56.885714285714286,350.0
Uruguay,4.559478916695235,7.821963204205233,9.892012341446693,10.970174837161467,11.604388069934865,175020.0
Uzbekistan,5.992877291960507,6.961589092618711,7.87400094029149,8.343676539727316,8.673389750822755,425400.0
Vanuatu,36.28383921246924,36.28383921246924,36.28383921246924,36.28383921246924,36.28383921246924,12190.0
Venezuela (Bolivarian Republic of),58.98305084745763,55.72359843546284,53.857491071934696,52.92557111274871,52.41301513519642,882050.0
Viet Nam,30.2382042764537,38.00464411261974,43.17754055535847,45.350598252007615,47.22511045892863,310070.0
Wallis and Futuna Islands,41.42857142857142,41.5,41.57142857142858,41.642857142857146,41.642857142857146,140.0
Western Sahara,2.500375939849624,2.516203007518797,2.5004135338345868,2.498872180451128,2.500263157894737,266000.0
Yemen,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,527970.0
Zambia,63.77809763381267,63.29651999623347,62.81494235865427,61.54925409273733,60.283337144701974,743390.0
Zimbabwe,48.66661496704149,47.47571410107276,46.284813235104046,45.68936280211969,45.09391236913533,386850.0
